Nation,Olympic,Gold,Silver,Bronze,event_count
New Zealand,antwerp-1920,0,0,1,3
Egypt,antwerp-1920,0,0,0,4
Estonia,antwerp-1920,1,2,0,2
Luxembourg,antwerp-1920,0,1,0,4
Greece,antwerp-1920,0,1,0,7
Monaco,antwerp-1920,0,0,0,2
India,antwerp-1920,0,0,0,2
Chile,antwerp-1920,0,0,0,1
Brazil,antwerp-1920,1,1,1,4
Portugal,antwerp-1920,0,0,0,2
Yugoslavia,antwerp-1920,0,0,0,1
Poland,antwerp-1920,0,0,0,1
Great Britain,stockholm-1912,9,14,16,15
Sweden,stockholm-1912,24,24,17,18
Denmark,stockholm-1912,1,6,6,13
France,stockholm-1912,7,4,3,13
Germany,stockholm-1912,6,14,5,15
Norway,stockholm-1912,4,1,6,13
Australasia,stockholm-1912,2,2,3,4
Bohemia,stockholm-1912,0,0,0,7
South Africa,stockholm-1912,4,2,0,5
Austria,stockholm-1912,0,2,2,10
Russian Federation,stockholm-1912,0,2,4,14
Hungary,stockholm-1912,3,2,3,10
United States of America,stockholm-1912,25,19,19,11
Netherlands,stockholm-1912,0,0,3,5
Finland,stockholm-1912,9,8,9,9
Portugal,stockholm-1912,0,0,0,2
Italy,stockholm-1912,3,1,2,5
Belgium,stockholm-1912,2,1,3,9
Canada,stockholm-1912,3,2,3,6
Chile,stockholm-1912,0,0,0,4
Greece,stockholm-1912,1,0,1,4
Iceland,stockholm-1912,0,0,0,1
Serbia,stockholm-1912,0,0,0,1
Turkey,stockholm-1912,0,0,0,1
Luxembourg,stockholm-1912,0,0,0,2
Japan,stockholm-1912,0,0,0,1
Switzerland,stockholm-1912,0,0,0,1
France,london-1908,5,5,9,13
Great Britain,london-1908,56,51,39,23
Belgium,london-1908,1,5,2,10
Netherlands,london-1908,0,0,2,12
Hungary,london-1908,3,4,2,9
Bohemia,london-1908,0,0,2,6
Italy,london-1908,2,2,0,7
Germany,london-1908,3,5,5,12
Denmark,london-1908,0,2,3,8
Sweden,london-1908,8,6,11,14
United States of America,london-1908,23,12,12,10
Russian Federation,london-1908,1,2,0,3
Finland,london-1908,1,1,3,5
Iceland,london-1908,0,0,0,1
Canada,london-1908,3,3,10,8
Norway,london-1908,2,3,3,5
South Africa,london-1908,1,1,0,3
Austria,london-1908,0,0,1,3
Australasia,london-1908,1,2,2,5
Greece,london-1908,0,3,1,3
Switzerland,london-1908,0,0,0,1
Australia,london-1908,0,0,0,1
Turkey,london-1908,0,0,0,1
Argentina,london-1908,0,0,0,1
United States of America,st-louis-1904,76,78,77,18
MIX,st-louis-1904,2,1,1,5
Canada,st-louis-1904,4,1,1,6
Germany,st-louis-1904,4,5,6,8
New Zealand,st-louis-1904,0,0,0,1
Hungary,st-louis-1904,2,1,1,2
Australia,st-louis-1904,0,3,1,2
Greece,st-louis-1904,1,0,1,3
France,st-louis-1904,0,1,0,1
Cuba,st-louis-1904,3,0,0,2
South Africa,st-louis-1904,0,0,0,2
Newfoundland,st-louis-1904,0,0,0,1
Great Britain,st-louis-1904,1,1,0,2
Norway,st-louis-1904,2,0,0,2
Switzerland,st-louis-1904,1,0,2,2
Austria,st-louis-1904,1,1,1,2
France,paris-1900,26,36,35,15
Italy,paris-1900,2,2,0,6
Belgium,paris-1900,5,7,4,10
Austria,paris-1900,0,3,3,4
Hungary,paris-1900,1,2,2,4
Cuba,paris-1900,1,1,0,1
Argentina,paris-1900,0,0,0,1
Russian Federation,paris-1900,0,0,0,2
Netherlands,paris-1900,0,2,3,6
Germany,paris-1900,4,3,2,8
Switzerland,paris-1900,6,2,1,4
Great Britain,paris-1900,15,8,9,12
United States of America,paris-1900,19,14,15,7
Brazil,paris-1900,0,0,0,2
Bohemia,paris-1900,0,1,1,4
New Zealand,paris-1900,0,0,0,1
MIX,paris-1900,8,5,6,11
Norway,paris-1900,0,2,3,2
Denmark,paris-1900,1,3,2,3
Romania,paris-1900,0,0,0,1
Greece,paris-1900,0,0,0,2
Chile,paris-1900,0,0,0,1
India,paris-1900,0,2,0,1
Luxembourg,paris-1900,1,0,0,1
Sweden,paris-1900,0,0,1,2
Canada,paris-1900,1,0,1,1
Australia,paris-1900,2,0,3,2
Spain,paris-1900,1,0,0,2
France,athens-1896,5,4,2,7
Greece,athens-1896,10,18,19,10
Denmark,athens-1896,1,2,3,6
Austria,athens-1896,2,1,2,3
Hungary,athens-1896,2,1,3,6
Australia,athens-1896,2,0,0,2
United States of America,athens-1896,11,7,2,3
Italy,athens-1896,0,0,0,2
Germany,athens-1896,6,5,2,7
Sweden,athens-1896,0,0,0,3
Chile,athens-1896,0,0,0,1
Great Britain,athens-1896,2,3,2,9
Switzerland,athens-1896,1,2,0,2
MIX,athens-1896,1,0,1,1
